Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-04-04,67.45124999999999,237.885,34.11375,57.7575,90.63166666666666,45.3075,20.84142857142857,1.17,31.576,3.0033333333333334,9.393333333333333,1.34,,15.94,10.5,30.470000000000002,29.081666666666667,1.2385714285714287,172.02500000000003,0.0,0.0,144.68285714285713,825.5749999999999,0.0775
2017-04-05,41.2175,158.96,26.481250000000003,49.9025,67.85833333333333,41.535,14.081428571428571,7.58,27.832000000000004,2.6583333333333337,13.013333333333334,0.76,,12.049999999999999,2.99,28.414999999999996,40.32,1.9614285714285715,118.59625,0.0,0.0,200.9857142857143,827.3866666666667,-0.0675
2017-04-06,65.0475,273.855,25.64875,52.71875,70.15666666666668,37.3925,14.767142857142858,1.642,37.870000000000005,2.2066666666666666,11.083333333333334,2.36,,9.35,3.4899999999999998,30.87,24.248333333333335,1.832857142857143,178.99375,0.0,0.0,201.3842857142857,824.5633333333334,0.07500000000000001
2017-04-07,133.53875,578.32,35.67555555555556,62.47666666666666,91.9342857142857,30.419999999999998,23.048571428571428,2.08,35.362,3.223333333333333,14.241666666666667,1.27,,11.15,3.5300000000000002,29.13,22.881666666666664,0.78,171.29874999999998,0.0,0.0,174.6157142857143,827.7116666666667,0.08750000000000001
2017-04-08,102.50874999999999,360.75750000000005,67.44555555555556,81.6211111111111,132.7757142857143,33.688,27.770000000000003,4.016,42.16,3.5966666666666662,14.888333333333335,2.16,,11.895,3.755,28.6475,13.826666666666668,0.8414285714285715,216.3975,0.0,0.0,221.92285714285714,828.2066666666666,0.1175
2017-04-09,46.435,172.005,21.034444444444446,51.24555555555556,63.84714285714285,24.258,19.505714285714284,1.8060000000000003,56.072,1.8616666666666666,10.068333333333333,0.56,,8.685,3.065,27.33,13.921666666666667,1.6285714285714286,233.03,0.0,0.0,229.55857142857144,827.9616666666667,0.185
2017-04-10,81.65625000000001,212.6475,29.643333333333334,58.19444444444444,67.94714285714285,24.964,16.80142857142857,2.8939999999999992,56.35200000000001,2.398333333333333,11.153333333333334,1.95,,9.665,3.455,28.0475,14.576666666666666,1.7428571428571427,248.0625,0.0,0.0,227.78,827.4866666666667,0.1675
2017-04-11,84.17299999999999,226.288,26.52,59.132000000000005,69.21625,25.121666666666666,22.301250000000003,3.233333333333333,48.34,4.531428571428571,27.61428571428571,1.91,,8.52,17.400000000000002,30.642000000000003,16.094285714285714,1.55625,216.9377777777778,0.0,0.0,205.81624999999997,813.0485714285714,0.07400000000000001
2017-04-12,96.932,259.69,45.092,72.635,100.31125,29.276666666666667,25.775,3.5450000000000004,42.76499999999999,7.121428571428572,26.604285714285716,1.67,,19.745,31.165000000000003,31.394,22.217142857142854,1.09625,201.74555555555557,0.0,0.0,151.65125,813.2071428571427,0.086
2017-04-13,139.749,339.0,141.821,100.867,181.82857142857142,46.90833333333333,34.81875,4.6066666666666665,45.78666666666667,13.637142857142859,36.05428571428571,1.0,,20.805,54.980000000000004,31.483999999999998,22.392857142857142,0.6675,182.22,0.0,0.0,192.75375000000003,812.2371428571429,-0.007999999999999997
2017-04-14,151.51,383.244,146.76555555555558,147.31444444444446,233.6142857142857,43.48333333333333,38.93857142857143,2.2433333333333336,78.244,10.596666666666668,31.605,1.0,,15.06,51.36,31.844,27.617142857142856,0.6375000000000001,134.33555555555554,0.0,0.0,213.85875,811.8128571428571,-0.027999999999999997
2017-04-15,140.772,377.56000000000006,99.57300000000001,120.99299999999998,129.08166666666668,42.355,28.5425,1.8550000000000002,44.565,7.47,59.79571428571428,1.0,,31.29,43.54,33.348,25.557142857142853,0.8262499999999999,191.66999999999996,0.0,0.0,250.7575,810.8399999999999,0.036
2017-04-16,161.72666666666666,370.6925,66.77250000000001,90.235,141.89857142857144,29.998,36.276666666666664,5.6579999999999995,62.78,9.075,34.05,1.0,,,,32.1525,27.951666666666668,0.6914285714285714,160.78125000000003,0.0,0.0,238.67000000000004,823.1216666666668,0.020000000000000007
2017-04-17,121.24300000000001,358.276,46.63,104.079,137.25750000000002,45.79333333333333,23.408749999999998,1.6633333333333333,48.0,5.33,25.298333333333332,0.99,,,,34.446000000000005,32.402857142857144,0.9537500000000001,125.42555555555555,0.0,0.0,251.17874999999998,811.9371428571429,0.046
2017-04-18,134.863,380.3280000000001,36.372,76.743,89.95750000000001,32.821999999999996,25.282500000000002,1.336,40.43714285714286,7.771666666666666,36.72333333333333,,,4.54,9.19,35.190000000000005,25.9375,0.80875,180.15333333333334,0.0,0.0,276.03555555555556,810.9314285714287,0.04666666666666667
2017-04-19,114.41300000000001,351.76800000000003,102.31700000000001,84.07300000000001,189.77499999999998,36.605,23.610000000000003,2.0016666666666665,28.149999999999995,7.5183333333333335,34.22166666666667,,,3.98,9.66,35.422,18.085714285714285,0.8374999999999999,196.82555555555552,0.0,0.0,253.25874999999996,810.4085714285713,0.039999999999999994
2017-04-20,103.471,382.93600000000004,105.94000000000001,77.865,189.90249999999997,41.410000000000004,20.638571428571428,1.7466666666666668,29.916666666666668,5.432857142857143,26.699999999999996,1.41,,0.31,7.12,34.84,24.011428571428574,0.715,191.4533333333333,0.0,0.0,241.0,809.4328571428571,0.05
2017-04-21,114.70777777777776,389.63749999999993,22.608888888888888,56.97666666666666,57.94285714285714,36.833333333333336,17.638333333333332,1.204,50.410000000000004,4.24,21.63,1.44,,1.19,6.09,34.615,41.52333333333333,1.3685714285714285,110.56,0.0,0.0,276.9985714285714,821.745,0.05750000000000001
2017-04-22,101.34333333333332,301.37,24.333333333333332,55.26,47.35000000000001,32.39666666666667,13.684999999999999,0.615,14.395,1.9799999999999998,11.886666666666665,1.44,,0.27,7.21,36.9,43.64333333333334,0.9275000000000001,159.246,0.0,0.0,300.67749999999995,909.2033333333334,0.1
2017-04-23,83.87555555555556,267.56,35.19444444444444,48.05222222222223,75.64714285714285,24.69666666666667,16.228571428571428,1.1275,34.69,3.7960000000000003,24.356,1.44,,0.46,8.63,35.8075,25.89166666666667,0.8242857142857144,226.77124999999998,0.0,0.0,268.9342857142857,822.8233333333334,0.05500000000000001
2017-04-24,75.82750000000001,244.6575,26.17111111111111,44.962222222222216,61.297142857142866,25.72666666666667,15.298571428571426,1.4300000000000002,45.174,2.523333333333333,20.121666666666666,1.49,,0.33,6.23,33.77,25.775000000000002,1.1428571428571428,227.84750000000003,0.0,0.0,258.97714285714284,823.5816666666666,0.095
2017-04-25,98.67,308.805,25.977777777777774,48.882222222222225,64.80571428571429,24.669999999999998,20.23,1.034,56.272000000000006,2.6783333333333332,17.881666666666664,1.5,,0.43,8.12,32.9475,24.111666666666668,1.2285714285714284,228.5375,0.0,0.0,203.1885714285714,823.7033333333335,0.115
2017-04-26,67.77111111111111,181.47250000000003,34.8,56.657777777777774,80.34,24.791666666666668,13.997142857142858,0.93,51.416,2.1933333333333334,19.635,1.5,,2.77,4.99,32.43,23.82166666666667,1.0014285714285713,212.25625000000002,0.0,0.0,195.70285714285714,823.9733333333334,0.11499999999999999
2017-04-27,83.04777777777777,262.03,41.47888888888889,66.84666666666665,85.77714285714286,36.61,23.428571428571427,1.1079999999999999,47.782,2.2499999999999996,18.666666666666668,1.5,,,,31.85,24.403333333333336,0.9442857142857143,180.98250000000002,0.0,0.0,177.59285714285716,824.6766666666666,0.0925
2017-04-28,85.88777777777779,266.83,37.04333333333333,54.18000000000001,82.91571428571429,26.56833333333333,19.594285714285714,1.2420000000000002,37.971999999999994,3.014,18.236666666666668,1.51,,,0.07,32.1375,25.71666666666667,0.9771428571428571,194.96499999999997,0.0,0.0,167.26142857142855,824.0383333333334,0.09
2017-04-29,114.33111111111111,289.88750000000005,56.90111111111111,66.43,114.78714285714287,30.85166666666667,27.124285714285715,1.7420000000000002,49.513999999999996,3.752,21.221666666666668,1.5,,,,32.5225,27.208333333333332,0.8242857142857144,157.33875,0.0,0.0,165.1342857142857,823.8383333333333,0.0675
2017-04-30,79.55333333333333,217.77999999999997,20.13888888888889,42.70777777777778,50.49571428571429,27.561666666666664,20.791428571428572,1.0059999999999998,52.00600000000001,2.836,16.82,1.51,,,,30.310000000000002,32.553333333333335,1.3900000000000001,122.5275,0.0,0.0,174.00857142857143,824.4216666666666,0.09
2017-05-01,80.19714285714285,196.1975,68.46142857142857,55.55714285714286,123.72166666666665,33.13999999999999,27.836000000000002,1.6875,52.31999999999999,4.12,20.3175,1.5,,,,32.0375,23.035999999999998,0.8033333333333333,153.74666666666667,0.0,0.0,280.5583333333333,791.022,0.07750000000000001
2017-05-02,145.41714285714286,337.97249999999997,101.26857142857143,93.81857142857143,179.20333333333335,32.10333333333333,36.318,2.6425,68.8925,5.484999999999999,25.5625,1.5,,,,32.185,25.154000000000003,0.6633333333333333,144.55166666666665,0.0,0.0,156.03833333333333,790.86,0.11250000000000002
2017-05-03,131.82833333333335,340.70000000000005,57.815,82.03500000000001,120.74833333333333,35.245999999999995,33.3525,1.8399999999999999,38.03,5.095,24.03,2.9,,,,31.113333333333333,28.885,1.028,153.314,0.0,0.0,123.15799999999999,738.8924999999999,0.15000000000000002
2017-05-04,110.41285714285712,300.7875,27.268571428571427,53.57285714285714,74.44,28.51,20.119999999999997,1.4,52.989999999999995,3.0625,17.659999999999997,1.06,,,,33.3975,28.368000000000002,1.11,218.13,,0.0,186.29666666666665,790.352,0.11249999999999999
2017-05-05,176.18500000000003,437.77,45.296666666666674,60.086666666666666,108.98200000000001,25.55,29.564,2.065,67.3925,5.485,19.8025,0.62,,,,33.6675,26.107499999999998,1.098,204.18400000000003,,0.0,188.87,789.9240000000001,0.1575
2017-05-06,155.66833333333332,337.075,81.36999999999999,73.43,170.754,26.976,33.105999999999995,2.3425000000000002,68.9575,5.945,22.5075,1.21,,,,34.8275,27.2125,0.774,174.31,,0.0,193.734,789.8019999999999,0.1525
2017-05-07,163.78166666666667,340.3075,99.478,78.204,189.7,26.62,41.129999999999995,2.4899999999999998,57.7525,11.096666666666666,26.75333333333333,,,,,35.082499999999996,30.830000000000002,0.8300000000000001,243.448,0.0,0.0,135.746,789.3859999999999,0.1525
2017-05-08,151.78857142857143,368.37249999999995,51.771428571428565,98.8357142857143,124.54666666666667,47.986000000000004,41.936,2.0175,75.4025,6.536666666666666,22.19666666666667,,,,,37.0075,26.926,0.7816666666666666,179.24499999999998,,0.0,155.73333333333332,788.9739999999999,0.1575
2017-05-09,96.43142857142858,328.97249999999997,20.49142857142857,51.62428571428571,57.876666666666665,25.816666666666666,28.356,1.1724999999999999,50.337500000000006,3.653333333333333,27.060000000000002,3.5,,,,35.277499999999996,31.368000000000002,1.3883333333333334,160.45333333333332,,0.0,180.87833333333333,788.592,0.1625
2017-05-10,72.22285714285714,205.84249999999997,15.86857142857143,38.98428571428571,40.365,25.031666666666666,25.98,1.08,61.347500000000004,3.1766666666666663,24.203333333333333,3.5,,,,33.0775,40.91799999999999,1.9283333333333335,154.99833333333333,,0.0,185.55166666666665,789.5699999999999,0.16999999999999998
